sentence,len
CHAPTER I.,10
"Down the Rabbit-Hole  Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversations?'",324
"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",289
"There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!",140
Oh dear!,8
I shall be late!',17
"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",565
"In another moment down went Alice after it, never once considering how in the world she was to get out again.",109
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.",219
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.",162
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.",269
"She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.",271
'Well!',7
"thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs!",100
How brave they'll all think me at home!,39
"Why, I wouldn't say anything about it, even if I fell off the top of the house!'",80
(Which was very likely true.),29
"Down, down, down.",17
Would the fall NEVER come to an end!,36
'I wonder how many miles I've fallen by this time?',51
she said aloud.,15
'I must be getting somewhere near the centre of the earth.,58
"Let me see: that would be four thousand miles down, I think--' (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?'",416
"(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",106
Presently she began again.,26
'I wonder if I shall fall right THROUGH the earth!,50
How funny it'll seem to come out among the people that walk with their heads downward!,86
"The Antipathies, I think--' (she was rather glad there WAS no one listening, this time, as it didn't sound at all the right word) '--but I shall have to ask them what the name of the country is, you know.",204
"Please, Ma'am, is this New Zealand or Australia?'",49
(and she tried to curtsey as she spoke--fancy CURTSEYING as you're falling through the air!,91
Do you think you could manage it?),34
'And what an ignorant little girl she'll think me for asking!,61
"No, it'll never do to ask: perhaps I shall see it written up somewhere.'",72
"Down, down, down.",17
"There was nothing else to do, so Alice soon began talking again.",64
